"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Dart", "Ruby", "Markdown", "Swift", "XML", "Properties", "comment", "blank", "total"
"/Users/jason/grocery-list-mobile-app/grocery_app/web/index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 23, 5, 47
"/Users/jason/grocery-list-mobile-app/grocery_app/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/flutter/CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/flutter/generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/flutter/generated_plugins.cmake", "CMake", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/jason/grocery-list-mobile-app/grocery_app/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 566, 465, 278, 19, 24, 2932, 63, 14, 67, 470, 7, 368, 696, 5969
